Campionato;GiornoSettimana;GiornoMese;Mese;Casa;Trasferta;GoalCasa;GoalTrasferta
2019/20;Lun;4;Nov;SPAL;Sampdoria;0;1
2019/20;Ven;8;Nov;Sassuolo;Bologna;3;1
2019/20;Sab;9;Nov;Brescia;Torino;0;4
2019/20;Sab;9;Nov;Inter;Hellas Verona;2;1
2019/20;Sab;9;Nov;Napoli;Genoa;0;0
2019/20;Dom;10;Nov;Cagliari;Fiorentina;5;2
2019/20;Dom;10;Nov;Lazio;Lecce;4;2
2019/20;Dom;10;Nov;Sampdoria;Atalanta;0;0
2019/20;Dom;10;Nov;Udinese;SPAL;0;0
2019/20;Dom;10;Nov;Parma;Roma;2;0
2019/20;Dom;10;Nov;Juventus;Milan;1;0
2019/20;Sab;23;Nov;Atalanta;Juventus;1;3
2019/20;Sab;23;Nov;Milan;Napoli;1;1
2019/20;Sab;23;Nov;Torino;Inter;0;3
2019/20;Dom;24;Nov;Bologna;Parma;2;2
2019/20;Dom;24;Nov;Roma;Brescia;3;0
2019/20;Dom;24;Nov;Hellas Verona;Fiorentina;1;0
2019/20;Dom;24;Nov;Sassuolo;Lazio;1;2
2019/20;Dom;24;Nov;Sampdoria;Udinese;2;1
2019/20;Lun;25;Nov;Lecce;Cagliari;2;2
2019/20;Lun;25;Nov;SPAL;Genoa;1;1
2019/20;Sab;30;Nov;Brescia;Atalanta;0;3
2019/20;Sab;30;Nov;Genoa;Torino;0;1
2019/20;Sab;30;Nov;Fiorentina;Lecce;0;1
2019/20;Dom;1;Dic;Juventus;Sassuolo;2;2
2019/20;Dom;1;Dic;Inter;SPAL;2;1
2019/20;Dom;1;Dic;Lazio;Udinese;3;0
2019/20;Dom;1;Dic;Parma;Milan;0;1
2019/20;Dom;1;Dic;Napoli;Bologna;1;2
2019/20;Dom;1;Dic;Hellas Verona;Roma;1;3
2019/20;Lun;2;Dic;Cagliari;Sampdoria;4;3
2019/20;Ven;6;Dic;Inter;Roma;0;0
2019/20;Sab;7;Dic;Atalanta;Hellas Verona;3;2
2019/20;Sab;7;Dic;Udinese;Napoli;1;1
2019/20;Sab;7;Dic;Lazio;Juventus;3;1
2019/20;Dom;8;Dic;Lecce;Genoa;2;2
2019/20;Dom;8;Dic;Sassuolo;Cagliari;2;2
2019/20;Dom;8;Dic;SPAL;Brescia;0;1
2019/20;Dom;8;Dic;Torino;Fiorentina;2;1
2019/20;Dom;8;Dic;Sampdoria;Parma;0;1
2019/20;Dom;8;Dic;Bologna;Milan;2;3
2019/20;Sab;14;Dic;Brescia;Lecce;3;0
2019/20;Sab;14;Dic;Napoli;Parma;1;2
2019/20;Sab;14;Dic;Genoa;Sampdoria;0;1
2019/20;Dom;15;Dic;Hellas Verona;Torino;3;3
2019/20;Dom;15;Dic;Milan;Sassuolo;0;0
2019/20;Dom;15;Dic;Bologna;Atalanta;2;1
2019/20;Dom;15;Dic;Juventus;Udinese;3;1
2019/20;Dom;15;Dic;Roma;SPAL;3;1
2019/20;Dom;15;Dic;Fiorentina;Inter;1;1
2019/20;Lun;16;Dic;Cagliari;Lazio;1;2
2019/20;Mer;18;Dic;Sampdoria;Juventus;1;2
2019/20;Mer;18;Dic;Brescia;Sassuolo;0;2
2019/20;Ven;20;Dic;Fiorentina;Roma;1;4
2019/20;Sab;21;Dic;Udinese;Cagliari;2;1
2019/20;Sab;21;Dic;Inter;Genoa;4;0
2019/20;Sab;21;Dic;Torino;SPAL;1;2
2019/20;Dom;22;Dic;Atalanta;Milan;5;0
2019/20;Dom;22;Dic;Lecce;Bologna;2;3
2019/20;Dom;22;Dic;Parma;Brescia;1;1
