Championship;DayWeek;DayMonth;Month;Home;Away;GoalHome;GoalAway;Win;Draw;Lose;ResultHome;ResultAway;Result;PointHome;PointAway;GamesPlayed;SignResultHome;SignResultAway;HomeMatch_1_Ago;HomeMatch_2_Ago;HomeMatch_3_Ago;HomeMatch_4_Ago;HomeMatch_5_Ago;HomeMatch_1_Ago_InHome;HomeMatch_2_Ago_InHome;HomeMatch_3_Ago_InHome;HomeMatch_4_Ago_InHome;HomeMatch_5_Ago_InHome;AwayMatch_1_Ago;AwayMatch_2_Ago;AwayMatch_3_Ago;AwayMatch_4_Ago;AwayMatch_5_Ago;AwayMatch_1_Ago_InAway;AwayMatch_2_Ago_InAway;AwayMatch_3_Ago_InAway;AwayMatch_4_Ago_InAway;AwayMatch_5_Ago_InAway;HomeGoal_1_match_Ago;HomeGoal_2_match_Ago;HomeGoal_3_match_Ago;HomeGoal_4_match_Ago;HomeGoal_5_match_Ago;HomeGoal_1_match_Ago_InHome;HomeGoal_2_match_Ago_InHome;HomeGoal_3_match_Ago_InHome;HomeGoal_4_match_Ago_InHome;HomeGoal_5_match_Ago_InHome;AwayGoal_1_match_Ago;AwayGoal_2_match_Ago;AwayGoal_3_match_Ago;AwayGoal_4_match_Ago;AwayGoal_5_match_Ago;AwayGoal_1_match_Ago_InAway;AwayGoal_2_match_Ago_InAway;AwayGoal_3_match_Ago_InAway;AwayGoal_4_match_Ago_InAway;AwayGoal_5_match_Ago_InAway
2019/20;Sabato;31;Agosto;Milan;Brescia;1;0;True;False;False;1;-1;1;3;0;228;1;2;1;1;1;1;2;1;X;X;X;X;2;2;2;2;1;2;X;X;X;X;1.0;1.0;4.0;2.0;2.0;1.0;1.0;4.0;2.0;2.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0;3.0
2019/20;Sabato;31;Agosto;Juventus;Napoli;4;3;True;False;False;1;-1;1;3;0;228;1;2;1;1;1;1;1;1;X;X;X;X;2;2;2;2;2;2;X;X;X;X;4.0;1.0;1.0;4.0;2.0;4.0;1.0;1.0;4.0;2.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0;1.0
2019/20;Domenica;1;Settembre;Lazio;Roma;1;1;False;True;False;0;0;X;1;1;228;X;X;X;1;1;1;1;X;X;X;X;X;X;2;2;2;2;X;X;X;X;X;1.0;4.0;1.0;1.0;4.0;1.0;4.0;1.0;1.0;4.0;1.0;3.0;0.0;0.0;0.0;1.0;3.0;0.0;0.0;0.0
2019/20;Domenica;1;Settembre;Atalanta;Torino;2;3;False;False;True;-1;1;2;0;3;228;2;1;2;X;1;1;1;2;X;X;X;X;1;X;2;2;2;1;X;X;X;X;2.0;1.0;4.0;1.0;1.0;2.0;1.0;4.0;1.0;1.0;3.0;1.0;3.0;0.0;0.0;3.0;1.0;3.0;0.0;0.0
2019/20;Domenica;1;Settembre;Cagliari;Inter;1;2;False;False;True;-1;1;2;0;3;228;2;1;2;2;X;1;1;2;X;X;X;X;1;1;X;2;2;1;X;X;X;X;1.0;2.0;1.0;4.0;1.0;1.0;2.0;1.0;4.0;1.0;2.0;3.0;1.0;3.0;0.0;2.0;3.0;1.0;3.0;0.0
2019/20;Domenica;1;Settembre;Genoa;Fiorentina;2;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;2;X;1;1;X;X;X;X;2;1;1;X;2;2;X;X;X;X;2.0;1.0;2.0;1.0;4.0;2.0;1.0;2.0;1.0;4.0;1.0;2.0;3.0;1.0;3.0;1.0;2.0;3.0;1.0;3.0
2019/20;Domenica;1;Settembre;Lecce;Hellas Verona;0;1;False;False;True;-1;1;2;0;3;228;2;1;2;1;2;2;X;2;X;X;X;X;1;2;1;1;X;1;X;X;X;X;0.0;2.0;1.0;2.0;1.0;0.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;3.0;1.0
2019/20;Domenica;1;Settembre;Sassuolo;Sampdoria;4;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;1;2;2;1;X;X;X;X;2;1;2;1;1;2;X;X;X;X;4.0;0.0;2.0;1.0;2.0;4.0;0.0;2.0;1.0;2.0;1.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0;3.0
2019/20;Domenica;1;Settembre;Udinese;Parma;1;3;False;False;True;-1;1;2;0;3;228;2;1;2;1;2;1;2;2;X;X;X;X;1;2;1;2;1;1;X;X;X;X;1.0;4.0;0.0;2.0;1.0;1.0;4.0;0.0;2.0;1.0;3.0;1.0;1.0;1.0;2.0;3.0;1.0;1.0;1.0;2.0
2019/20;Sabato;14;Settembre;Fiorentina;Juventus;0;0;False;True;False;0;0;X;1;1;228;X;X;X;2;1;2;1;X;X;X;X;X;X;1;2;1;2;X;X;X;X;X;0.0;1.0;4.0;0.0;2.0;0.0;1.0;4.0;0.0;2.0;0.0;3.0;1.0;1.0;1.0;0.0;3.0;1.0;1.0;1.0
2019/20;Sabato;14;Settembre;Napoli;Sampdoria;2;0;True;False;False;1;-1;1;3;0;228;1;2;1;X;2;1;2;1;X;X;X;X;2;X;1;2;1;2;X;X;2;X;2.0;0.0;1.0;4.0;0.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;3.0;1.0;1.0;0.0;0.0;3.0;1.0;1.0
2019/20;Sabato;14;Settembre;Inter;Udinese;1;0;True;False;False;1;-1;1;3;0;228;1;2;1;1;X;2;1;1;X;X;X;X;2;2;X;1;2;2;X;X;X;X;1.0;2.0;0.0;1.0;4.0;1.0;2.0;0.0;1.0;4.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;3.0;1.0
2019/20;Domenica;15;Settembre;Genoa;Atalanta;1;2;False;False;True;-1;1;2;0;3;228;2;1;2;1;1;X;2;2;X;X;X;X;1;2;2;X;1;1;X;X;X;X;1.0;1.0;2.0;0.0;1.0;1.0;1.0;2.0;0.0;1.0;2.0;0.0;0.0;0.0;3.0;2.0;0.0;0.0;0.0;3.0
2019/20;Domenica;15;Settembre;Brescia;Bologna;3;4;False;False;True;-1;1;2;0;3;228;2;1;2;2;1;1;X;2;X;X;X;X;1;1;2;2;X;1;X;X;X;X;3.0;1.0;1.0;2.0;0.0;3.0;1.0;1.0;2.0;0.0;4.0;2.0;0.0;0.0;0.0;4.0;2.0;0.0;0.0;0.0
2019/20;Domenica;15;Settembre;Parma;Cagliari;1;3;False;False;True;-1;1;2;0;3;228;2;1;2;2;2;1;1;2;X;X;X;X;1;1;1;2;2;1;X;X;X;X;1.0;3.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;2.0;3.0;4.0;2.0;0.0;0.0;3.0;4.0;2.0;0.0;0.0
2019/20;Domenica;15;Settembre;SPAL;Lazio;2;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;2;2;1;1;X;X;X;X;2;1;1;1;2;2;X;X;X;X;2.0;1.0;3.0;1.0;1.0;2.0;1.0;3.0;1.0;1.0;1.0;3.0;4.0;2.0;0.0;1.0;3.0;4.0;2.0;0.0
2019/20;Domenica;15;Settembre;Roma;Sassuolo;4;2;True;False;False;1;-1;1;3;0;228;1;2;1;1;2;2;2;1;X;X;X;X;2;2;1;1;1;2;X;X;X;X;4.0;2.0;1.0;3.0;1.0;4.0;2.0;1.0;3.0;1.0;2.0;1.0;3.0;4.0;2.0;2.0;1.0;3.0;4.0;2.0
2019/20;Domenica;15;Settembre;Hellas Verona;Milan;0;1;False;False;True;-1;1;2;0;3;228;2;1;2;1;1;2;2;2;X;X;X;X;1;2;2;1;1;1;X;X;X;X;0.0;4.0;2.0;1.0;3.0;0.0;4.0;2.0;1.0;3.0;1.0;2.0;1.0;3.0;4.0;1.0;2.0;1.0;3.0;4.0
2019/20;Lunedì;16;Settembre;Torino;Lecce;1;2;False;False;True;-1;1;2;0;3;228;2;1;2;2;1;1;2;2;X;X;X;X;1;1;2;2;1;1;X;X;X;X;1.0;0.0;4.0;2.0;1.0;1.0;0.0;4.0;2.0;1.0;2.0;1.0;2.0;1.0;3.0;2.0;1.0;2.0;1.0;3.0
2019/20;Venerdì;20;Settembre;Cagliari;Genoa;3;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;2;1;1;1;X;X;X;X;2;1;1;2;2;2;X;X;X;X;3.0;1.0;0.0;4.0;2.0;3.0;1.0;0.0;4.0;2.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0;1.0
2019/20;Sabato;21;Settembre;Udinese;Brescia;0;1;False;False;True;-1;1;2;0;3;228;2;1;2;1;2;2;1;2;X;X;X;X;1;2;1;1;2;1;X;X;X;X;0.0;3.0;1.0;0.0;4.0;0.0;3.0;1.0;0.0;4.0;1.0;1.0;2.0;1.0;2.0;1.0;1.0;2.0;1.0;2.0
2019/20;Sabato;21;Settembre;Juventus;Hellas Verona;2;1;True;False;False;1;-1;1;3;0;228;1;2;1;2;1;2;2;1;X;X;X;X;2;1;2;1;1;2;X;X;X;X;2.0;0.0;3.0;1.0;0.0;2.0;0.0;3.0;1.0;0.0;1.0;1.0;1.0;2.0;1.0;1.0;1.0;1.0;2.0;1.0
